Family.ID,Race,Hispanic,People.in.household,Primary.economic.activity.,Annual.income,Number.of.People.in.Household.with.GED.or.HS.Diploma,Highest.level.in.household,Indicator,Rent.vs..Own,Assistance.,Automobile
1,Other,Yes,4,Stay-at-Home Caregiver,NA,2,High School/GED,NA,Rent my home,None,Yes
1,,Yes,4,Employed Full-Time,24000,NA,Less than High School,Insurance,Rent my home,None,Yes
1,Native Hawaiian or Other Pacific Islander,Yes,3,Independiente,NA,1,Less than High School,Savings,Own my home,"Food stamps,Other",Yes
100588,Black or African American,No,3,Employed Full-Time,NA,1,High School/GED,NA,Rent my home,WIC,Yes
10588,Black or African American,No,3,Employed Full-Time,28000,1,Two-Year College Degree,NA,Live with parents,"Food stamps,WIC",
10588,,,3,,NA,NA,,NA,,,
108037,White,Yes,3,Unemployed,NA,1,High School/GED,NA,Rent my home,"Food stamps,WIC",Yes
108037,,,3,,NA,NA,,NA,,,
1110602,White,Yes,3,Employed Full-Time,NA,1,Two-Year College Degree,NA,Own my home,"WIC,Food stamps",Yes
1110602,,,3,,NA,NA,,NA,,,
118517,Black or African American,No,5,Other,11990,1,High School/GED,Physical Activity,Rent my home,"WIC,Food stamps",Yes
118517,Black or African American,No,5,Other,11990,1,High School/GED,Credit,Rent my home,"WIC,Food stamps",Yes
120112,White,Yes,6,Unemployed,NA,NA,Less than High School,NA,Own my home,Food stamps,Yes
12082,Black or African American,Yes,4,Employed Full-Time,20000,1,High School/GED,NA,Own my home,WIC,Yes
12082,Other,Yes,4,Employed Part-Time,3478,1,High School/GED,NA,Rent my home,"Food stamps,WIC",Yes
12107,Other,Yes,7,Employed Full-Time,0,0,Less than High School,Literacy,Rent my home,"Food stamps,WIC",Yes
12107,Other,,7,Other,NA,NA,,NA,,,
12107,Other,,7,Other,NA,NA,,NA,,Food stamps,
12107,Other,,7,Other,NA,NA,,NA,,,
12107,Other,,7,Other,NA,NA,,NA,,Food stamps,
1234,Black or African American,No,6,"Employed Full-Time,Stay-at-Home Caregiver",9338,2,Two-Year College Degree,Budget,Rent my home,"Food stamps,WIC",Yes
1234,Black or African American,No,6,"Employed Full-Time,Stay-at-Home Caregiver",9338,2,Two-Year College Degree,Savings,Rent my home,"Food stamps,WIC",Yes
1234,Black or African American,No,6,"Employed Full-Time,Stay-at-Home Caregiver",9338,2,Two-Year College Degree,Nutritious diet,Rent my home,"Food stamps,WIC",Yes
1234,,,6,,NA,NA,,NA,,,
12345,Black or African American,No,2,Employed Part-Time,NA,1,High School/GED,NA,Live with parents,,Yes
123456,Black or African American,No,3,Employed Full-Time,NA,1,Two-Year College Degree,NA,Rent my home,"Food stamps,WIC",Yes
126256,NA,NA,NA,NA,NA,NA,NA,Vaccines,NA,NA,NA
126256,Black or African American,No,7,Stay-at-Home Caregiver,NA,3,Two-Year College Degree,NA,Own my home,"WIC,Disability,None",Yes
126384,Other,Yes,5,Employed Part-Time,21200,1,High School/GED,Income,Rent my home,Food stamps,Yes
126384,Other,Yes,5,Employed Part-Time,21200,1,High School/GED,Credit,Rent my home,Food stamps,Yes
126384,Other,Yes,5,Other,21200,1,High School/GED,NA,Rent my home,Food stamps,Yes
126813,Other,Yes,5,Employed Full-Time,11200,2,High School/GED,Nutritious diet,Rent my home,"Food stamps,WIC",Yes
126813,Other,Yes,5,Employed Full-Time,11200,2,High School/GED,Physical Activity,Rent my home,"Food stamps,WIC",Yes
126813,Other,Yes,5,Employed Full-Time,11200,1,High School/GED,NA,Rent my home,Food stamps,Yes
126827,Black or African American,No,4,Other,6254,0,Less than High School,Physical Activity,Rent my home,"Food stamps,WIC",Yes
12776,Other,Yes,5,Unemployed,8840,1,High School/GED,Budget,Rent my home,"Food stamps,WIC",No
12776,White,Yes,5,Employed Full-Time,NA,NA,High School/GED,NA,Rent my home,Food stamps,Yes
127788,Black or African American,No,2,Employed Full-Time,NA,1,,NA,Rent my home,Food stamps,Yes
127788,Black or African American,No,2,Employed Full-Time,NA,1,High School/GED,NA,Rent my home,Food stamps,Yes
131098,Other,Yes,2,"Stay-at-Home Caregiver,Other",10400,1,High School/GED,Identification,Rent my home,"WIC,Food stamps",Yes
131098,Other,Yes,2,"Stay-at-Home Caregiver,Other",10400,1,High School/GED,Debt,Rent my home,"WIC,Food stamps",Yes
